Precip(m3)	SWE(m3)	BCSurf(m3)	BCGW(m3)	Canopy(m3)	Surface(m3)	Channel(m3)	SoilW(m3)	SoilL1(m3)	SoilL2(m3)	SoilL3(m3)	RZW(m3)	GW(m3)	ET(m3)	EvapS(m3)	EvapC(m3)	EvapI(m3)	EvapT(m3)	Leakage(m3)	SrfOut(m3)	GWOut(m3)	SrftoCh	GWtoCh	Rchrge	SatExt	MBErr	2H_MBE
760762	0	518862	0	11649.8	0	2616.3	1.90025e+06	61983.6	243772	1.20013e+06	264431	394371	580151	132190	39406.1	83824.2	364137	0	567228	2694.02	84800.4	5587.95	289444	0.129496	-7.50099e-15	34.6358
760762	0	523022	0	11649.8	0	2878.03	1.89984e+06	61989	243783	1.20013e+06	264446	393942	580159	132196	39407.1	83824.2	364139	0	571521	2702.12	85178.8	5605.72	289492	0.131295	1.49819e-14	34.7019
761874	1.855e-15	527051	0	11744.1	0	2855.58	1.90007e+06	62626.2	243799	1.20013e+06	265097	393519	580467	132404	39461.7	83917.9	364145	0	575990	2710.22	85632.4	5623.49	289546	0.131295	0	34.7567
761874	0	531219	0	11726.6	0	2872.66	1.89951e+06	62467.5	243816	1.20013e+06	264953	393099	580667	132585	39505.7	83935.4	364147	0	580467	2718.32	85985.3	5641.26	289603	0.131295	-7.46858e-15	34.7863
761874	0	535427	0	11635.7	0	2850.14	1.89886e+06	62234.4	243827	1.20013e+06	264728	392670	581052	132879	39582.5	84026.2	364147	0	584970	2726.43	86316.7	5659.02	289649	0.127698	-7.45851e-15	34.8369
761874	0	539437	0	11487.7	0	2780.49	1.89822e+06	62016.9	243836	1.20013e+06	264518	392241	581480	133159	39656.9	84174.3	364147	0	589325	2734.53	86649.2	5676.78	289694	0.127698	-1.48979e-14	34.89
762430	0	542901	0	11540	0	2633.36	1.89809e+06	62298.3	243847	1.20013e+06	264809	391816	581686	133322	39702.9	84216	364148	0	593312	2742.63	87052.7	5694.53	289742	0.131295	-1.48788e-14	34.9427
774523	0	545345	0	12727.2	0	2661.92	1.90711e+06	65636	245581	1.20013e+06	269586	395765	581820	133326	39703.5	84333.5	364161	0	597470	2750.74	88778.3	5712.36	294175	0.142086	3.70249e-14	35.307
780083	0	548001	0	13191	0	2529.46	1.91101e+06	65595.2	246897	1.20013e+06	270638	398394	581959	133458	39731.3	84333.5	364167	0	601275	2758.84	89805.2	5730.22	297294	0.142086	2.95427e-14	35.4883
783419	0	550582	0	13413.2	0	2361.45	1.91299e+06	65585	247662	1.20013e+06	271264	399619	582327	133721	39794.3	84429.4	364176	0	604720	2766.94	90545.7	5748.1	299011	0.142086	7.37185e-15	35.5651
785921	2.30393e-14	552940	0	13384.8	0	2174.17	1.91424e+06	65590	248170	1.20013e+06	271691	400351	582956	134132	39893.9	84646.8	364176	0	607814	2775.04	91176.4	5766	300237	0.143885	2.20816e-14	35.65
785921	0	555055	0	13034.1	0	1928.97	1.91342e+06	65176.5	248227	1.20013e+06	271324	399891	583775	134601	40004.5	84997.4	364176	0	610403	2783.15	91497.5	5783.89	300271	0.131295	-1.47112e-14	35.6936
785921	0	557035	0	11679.6	0	1727.78	1.91231e+06	64517.4	248234	1.20013e+06	270671	399433	585961	135433	40182.9	86352	364176	0	612676	2791.25	91750.1	5801.78	300305	0.116906	-1.4702e-14	35.7572
785921	0	558857	0	11457.6	0	1756.21	1.91167e+06	64324.9	248236	1.20013e+06	270481	398976	586460	135710	40253.2	86573.9	364176	0	614761	2799.35	92093.8	5819.67	300339	0.124101	-5.14275e-14	35.7801
786616	7.38613e-15	560891	0	11514.8	0	1912.75	1.91163e+06	64722.2	248261	1.20013e+06	270899	398520	586675	135865	40294.5	86634.2	364176	0	617046	2807.45	92524.2	5837.55	300374	0.138489	-2.93618e-14	35.7577
786616	0	563127	0	11357.8	0	1993.56	1.91102e+06	64530.8	248293	1.20013e+06	270734	398066	587060	136092	40351.6	86791.2	364176	0	619522	2815.56	92884.6	5855.42	300409	0.138489	-1.46706e-14	35.7648
